FlowDuration,TotLenFwdPkts,FwdPktLenMean,BwdPktLenMean,FlowIATMean,PktLenVar,Label
122958,592,1098.8528139417544,568.800769559849,14284.590759192373,575106.9128418497,Benign
147867,1433,326.72463286120217,187.599582139275,76425.15980693954,320640.9427338688,Benign
132932,755,1029.5967203704613,599.5032133793247,78997.45000167728,564311.1680722785,Benign
104694,1327,886.6416714346705,734.2727064748425,63929.54726654575,466503.382532784,DDoS
120879,1381,1259.701400922674,86.42316599326341,85346.55532025531,1468147.062011756,Benign
111268,1147,1193.7124926953354,186.10931070941996,73737.29720306714,61550.35651832019,DDoS
55886,1381,475.4485028289469,600.2086352698524,88220.57372269906,1234925.4958264427,Benign
138337,150,422.92038871645667,219.6053388056626,43388.804848547945,1521322.6840472128,DDoS
169266,290,1375.2319872008045,499.7311794269734,74759.71280994425,961446.9129379464,Benign
88498,422,761.8079942355963,64.93137957097161,99975.15634290443,1863129.9600158369,Benign
113727,46,1273.6683012844896,361.76198328283095,72493.11975196192,1415761.3904730706,Benign
127324,498,271.23938210365094,591.2731375943624,11418.378023713216,1495847.3026228345,DDoS
176203,1147,917.8055349802353,549.211154434602,51831.872242918296,393866.9748817405,Benign
192335,247,1143.3112529367913,652.0576805406455,58734.7791243028,1554591.151678147,DDoS
17023,939,1328.9835869417032,701.961701282535,17421.067507139098,1664189.4721662297,Benign
42090,1453,505.4091903729817,618.5468010070066,96289.16341780376,722532.7768119791,DDoS
68221,1377,1028.724579397471,537.2701943511407,17557.97776346163,426726.13606594247,Benign
65820,61,777.3975622034857,25.37799345282492,17755.791971322276,770101.3584072334,Benign
1769,449,131.84905018973205,427.97333872755524,91516.7137974555,1479215.9380002744,Benign
60735,934,981.4996453670735,30.158179931882234,46520.54331216711,835278.0117374054,Benign
195027,554,981.6303536210886,646.454253692818,6318.82792745162,1473303.750449576,Benign
65925,1190,1306.319186542825,256.57961956796606,59818.74999385286,227129.0819550753,DDoS
6311,848,721.3718023281127,449.94349929433673,60182.63486330478,1612023.4209769687,DDoS
104355,913,360.8387429591948,223.55624585512209,6450.07586865618,506414.9632847148,DDoS
185779,53,110.16116165571685,626.0001155042348,97252.2495633662,497857.9754291874,Benign
86305,1010,611.1169520259726,709.202021313522,54402.99652945756,1180761.9304077215,Benign
160765,1017,457.58754510462745,318.9139953704512,55979.57221797643,140236.0914939793,Benign
131608,1053,1077.469213132232,690.3379148087912,52011.54145023945,52595.453369337134,Benign
157730,1075,528.2614825354129,213.66000596506592,61073.177964462,522057.3305868985,DDoS
85478,126,1331.2461150250392,427.72873846041904,26429.975277375495,1076135.1014696455,Benign
123537,948,1349.1187740335088,687.0091438709632,28724.13479748408,1815232.7724504545,DDoS
150503,1364,888.2265967939059,260.7050740926323,51133.908979613276,1692870.3526146137,Benign
131523,1306,1303.691387470092,763.2338120624686,80668.58547635796,980892.9198419509,DDoS
3747,161,1077.1533650945692,97.5036014251069,4986.4576494178855,74103.98738698554,Benign
124855,1210,788.2605153164203,14.620055778804986,60340.4212220246,1070505.4692586183,DDoS
191222,789,293.41571282075046,723.3082820625525,80677.8142506314,1409591.199850591,Benign
66725,1419,669.107223743684,54.91893291829779,15691.727203722716,678329.0650500675,DDoS
